SUBDIVISION,YEAR,Parameter,ANNUAL
RAYALSEEMA,1936,No. of districts,NA
RAYALSEEMA,1937,Actual,775.4
RAYALSEEMA,1937,Percentage departure,1.2
RAYALSEEMA,1937,No. of districts,NA
RAYALSEEMA,1938,Actual,674.4
RAYALSEEMA,1938,Percentage departure,-12
RAYALSEEMA,1938,No. of districts,NA
RAYALSEEMA,1939,Actual,798.2
RAYALSEEMA,1939,Percentage departure,4.2
RAYALSEEMA,1939,No. of districts,NA
RAYALSEEMA,1940,Actual,904.6
RAYALSEEMA,1940,Percentage departure,18
RAYALSEEMA,1940,No. of districts,NA
RAYALSEEMA,1941,Actual,653.5
RAYALSEEMA,1941,Percentage departure,-14.7
RAYALSEEMA,1941,No. of districts,NA
RAYALSEEMA,1942,Actual,536.9
RAYALSEEMA,1942,Percentage departure,-29.9
RAYALSEEMA,1942,No. of districts,NA
RAYALSEEMA,1943,Actual,1036.5
RAYALSEEMA,1943,Percentage departure,35.3
RAYALSEEMA,1943,No. of districts,NA
RAYALSEEMA,1944,Actual,917.4
RAYALSEEMA,1944,Percentage departure,19.7
RAYALSEEMA,1944,No. of districts,NA
RAYALSEEMA,1945,Actual,604.1
RAYALSEEMA,1945,Percentage departure,-21.2
RAYALSEEMA,1945,No. of districts,NA
RAYALSEEMA,1946,Actual,953.7
RAYALSEEMA,1946,Percentage departure,24.4
RAYALSEEMA,1946,No. of districts,NA
RAYALSEEMA,1947,Actual,624.3
RAYALSEEMA,1947,Percentage departure,-18.5
RAYALSEEMA,1947,No. of districts,NA
RAYALSEEMA,1948,Actual,608.9
RAYALSEEMA,1948,Percentage departure,-20.5
RAYALSEEMA,1948,No. of districts,NA
RAYALSEEMA,1949,Actual,826.5
RAYALSEEMA,1949,Percentage departure,7.9
RAYALSEEMA,1949,No. of districts,NA
RAYALSEEMA,1950,Actual,510.9
RAYALSEEMA,1950,Percentage departure,-33.3
RAYALSEEMA,1950,No. of districts,NA
RAYALSEEMA,1951,Actual,538.4
RAYALSEEMA,1951,Percentage departure,-29.8
RAYALSEEMA,1951,No. of districts,NA
RAYALSEEMA,1952,Actual,701.2
RAYALSEEMA,1952,Percentage departure,-8.5
RAYALSEEMA,1952,No. of districts,NA
RAYALSEEMA,1953,Actual,795.7
RAYALSEEMA,1953,Percentage departure,3.8
RAYALSEEMA,1953,No. of districts,NA
RAYALSEEMA,1954,Actual,785.4
RAYALSEEMA,1954,Percentage departure,2.5
RAYALSEEMA,1954,No. of districts,NA
RAYALSEEMA,1955,Actual,816.4
RAYALSEEMA,1955,Percentage departure,6.5
RAYALSEEMA,1955,No. of districts,NA
RAYALSEEMA,1956,Actual,931
RAYALSEEMA,1956,Percentage departure,21.5
RAYALSEEMA,1956,No. of districts,NA
RAYALSEEMA,1957,Actual,571.7
RAYALSEEMA,1957,Percentage departure,-25.4
RAYALSEEMA,1957,No. of districts,NA
RAYALSEEMA,1958,Actual,808.4
RAYALSEEMA,1958,Percentage departure,5.5
RAYALSEEMA,1958,No. of districts,NA
RAYALSEEMA,1959,Actual,635.8
RAYALSEEMA,1959,Percentage departure,-17
RAYALSEEMA,1959,No. of districts,NA
RAYALSEEMA,1960,Actual,744
RAYALSEEMA,1960,Percentage departure,-2.9
RAYALSEEMA,1960,No. of districts,NA
RAYALSEEMA,1961,Actual,651.5
RAYALSEEMA,1961,Percentage departure,-15
RAYALSEEMA,1961,No. of districts,NA
RAYALSEEMA,1962,Actual,816.3
RAYALSEEMA,1962,Percentage departure,6.5
RAYALSEEMA,1962,No. of districts,NA
RAYALSEEMA,1963,Actual,709.1
RAYALSEEMA,1963,Percentage departure,-7.5
RAYALSEEMA,1963,No. of districts,NA
RAYALSEEMA,1964,Actual,791.6
RAYALSEEMA,1964,Percentage departure,3.3
RAYALSEEMA,1964,No. of districts,NA
RAYALSEEMA,1965,Actual,595.9
RAYALSEEMA,1965,Percentage departure,-22.2
RAYALSEEMA,1965,No. of districts,NA
RAYALSEEMA,1966,Actual,904.1
RAYALSEEMA,1966,Percentage departure,18
RAYALSEEMA,1966,No. of districts,NA
RAYALSEEMA,1967,Actual,737.6
RAYALSEEMA,1967,Percentage departure,-3.7
RAYALSEEMA,1967,No. of districts,NA
RAYALSEEMA,1968,Actual,623.9
RAYALSEEMA,1968,Percentage departure,-18.6
RAYALSEEMA,1968,No. of districts,NA
RAYALSEEMA,1969,Actual,842.4
RAYALSEEMA,1969,Percentage departure,9.9
RAYALSEEMA,1969,No. of districts,NA
RAYALSEEMA,1970,Actual,776.4
RAYALSEEMA,1970,Percentage departure,1.3
RAYALSEEMA,1970,No. of districts,NA
RAYALSEEMA,1971,Actual,621.1
RAYALSEEMA,1971,Percentage departure,-19
RAYALSEEMA,1971,No. of districts,NA
RAYALSEEMA,1972,Actual,826
RAYALSEEMA,1972,Percentage departure,7.8
RAYALSEEMA,1972,No. of districts,NA
RAYALSEEMA,1973,Actual,689.5
RAYALSEEMA,1973,Percentage departure,-10
RAYALSEEMA,1973,No. of districts,NA
RAYALSEEMA,1974,Actual,728.5
RAYALSEEMA,1974,Percentage departure,-4.9
RAYALSEEMA,1974,No. of districts,NA
RAYALSEEMA,1975,Actual,1041.6
RAYALSEEMA,1975,Percentage departure,35.9
RAYALSEEMA,1975,No. of districts,NA
RAYALSEEMA,1976,Actual,817
RAYALSEEMA,1976,Percentage departure,6.6
RAYALSEEMA,1976,No. of districts,NA
RAYALSEEMA,1977,Actual,866.6
RAYALSEEMA,1977,Percentage departure,13.1
RAYALSEEMA,1977,No. of districts,NA
RAYALSEEMA,1978,Actual,869.3
RAYALSEEMA,1978,Percentage departure,13.4
RAYALSEEMA,1978,No. of districts,NA
RAYALSEEMA,1979,Actual,813.4
RAYALSEEMA,1979,Percentage departure,6.1
RAYALSEEMA,1979,No. of districts,NA
RAYALSEEMA,1980,Actual,573.7
RAYALSEEMA,1980,Percentage departure,-25.1
RAYALSEEMA,1980,No. of districts,NA
RAYALSEEMA,1981,Actual,785.2
RAYALSEEMA,1981,Percentage departure,2.5
RAYALSEEMA,1981,No. of districts,NA
RAYALSEEMA,1982,Actual,595.6
RAYALSEEMA,1982,Percentage departure,-22.3
RAYALSEEMA,1982,No. of districts,NA
RAYALSEEMA,1983,Actual,943
RAYALSEEMA,1983,Percentage departure,23.1
RAYALSEEMA,1983,No. of districts,NA
RAYALSEEMA,1984,Actual,733
RAYALSEEMA,1984,Percentage departure,-4.3
RAYALSEEMA,1984,No. of districts,NA
RAYALSEEMA,1985,Actual,685.8
RAYALSEEMA,1985,Percentage departure,-10.5
RAYALSEEMA,1985,No. of districts,NA
RAYALSEEMA,1986,Actual,580.9
RAYALSEEMA,1986,Percentage departure,-24.2
RAYALSEEMA,1986,No. of districts,NA
RAYALSEEMA,1987,Actual,769.5
RAYALSEEMA,1987,Percentage departure,0.4
RAYALSEEMA,1987,No. of districts,NA
RAYALSEEMA,1988,Actual,842.3
RAYALSEEMA,1988,Percentage departure,9.9
RAYALSEEMA,1988,No. of districts,NA
RAYALSEEMA,1989,Actual,693.7
RAYALSEEMA,1989,Percentage departure,-9.5
RAYALSEEMA,1989,No. of districts,NA
RAYALSEEMA,1990,Actual,930.7
RAYALSEEMA,1990,Percentage departure,21.4
RAYALSEEMA,1990,No. of districts,NA
RAYALSEEMA,1991,Actual,967.5
RAYALSEEMA,1991,Percentage departure,26.3
RAYALSEEMA,1991,No. of districts,NA
RAYALSEEMA,1992,Actual,596
RAYALSEEMA,1992,Percentage departure,-22.2
RAYALSEEMA,1992,No. of districts,NA
RAYALSEEMA,1993,Actual,887.1
RAYALSEEMA,1993,Percentage departure,15.8
RAYALSEEMA,1993,No. of districts,NA
RAYALSEEMA,1994,Actual,690.5
RAYALSEEMA,1994,Percentage departure,-9.9
RAYALSEEMA,1994,No. of districts,NA
RAYALSEEMA,1995,Actual,874.3
RAYALSEEMA,1995,Percentage departure,14.1
RAYALSEEMA,1995,No. of districts,NA
RAYALSEEMA,1996,Actual,1277.7
RAYALSEEMA,1996,Percentage departure,66.7
RAYALSEEMA,1996,No. of districts,NA
RAYALSEEMA,1997,Actual,835
RAYALSEEMA,1997,Percentage departure,9
RAYALSEEMA,1997,No. of districts,NA
RAYALSEEMA,1998,Actual,948.1
RAYALSEEMA,1998,Percentage departure,23.7
RAYALSEEMA,1998,No. of districts,NA
RAYALSEEMA,1999,Actual,537.2
RAYALSEEMA,1999,Percentage departure,-29.9
RAYALSEEMA,1999,No. of districts,NA
RAYALSEEMA,2000,Actual,871.3
RAYALSEEMA,2000,Percentage departure,13.7
RAYALSEEMA,2000,No. of districts,NA
RAYALSEEMA,2001,Actual,924.5
RAYALSEEMA,2001,Percentage departure,20.6
RAYALSEEMA,2001,No. of districts,NA
RAYALSEEMA,2002,Actual,615.2
RAYALSEEMA,2002,Percentage departure,-19.7
RAYALSEEMA,2002,No. of districts,NA
RAYALSEEMA,2003,Actual,725.5
RAYALSEEMA,2003,Percentage departure,-5.3
RAYALSEEMA,2003,No. of districts,NA
RAYALSEEMA,2004,Actual,741.7
RAYALSEEMA,2004,Percentage departure,-3.2
RAYALSEEMA,2004,No. of districts,NA
RAYALSEEMA,2005,Actual,1066.4
RAYALSEEMA,2005,Percentage departure,39.1
RAYALSEEMA,2005,No. of districts,NA
RAYALSEEMA,2006,Actual,638.1
RAYALSEEMA,2006,Percentage departure,-16.7
RAYALSEEMA,2006,No. of districts,NA
RAYALSEEMA,2007,Actual,980.6
RAYALSEEMA,2007,Percentage departure,28
RAYALSEEMA,2007,No. of districts,NA
RAYALSEEMA,2008,Actual,798
RAYALSEEMA,2008,Percentage departure,4.1
RAYALSEEMA,2008,No. of districts,NA
RAYALSEEMA,2009,Actual,688.2
RAYALSEEMA,2009,Percentage departure,-10.2
RAYALSEEMA,2009,No. of districts,NA
RAYALSEEMA,2010,Actual,963.5
RAYALSEEMA,2010,Percentage departure,25.7
RAYALSEEMA,2010,No. of districts,NA
RAYALSEEMA,2011,Actual,738
RAYALSEEMA,2011,Percentage departure,-3.7
RAYALSEEMA,2011,No. of districts,NA
RAYALSEEMA,2012,Actual,715
RAYALSEEMA,2012,Percentage departure,-6.7
RAYALSEEMA,2012,No. of districts,NA
RAYALSEEMA,2013,Actual,762.6
RAYALSEEMA,2013,Percentage departure,-0.5
RAYALSEEMA,2013,No. of districts,NA
RAYALSEEMA,2014,Actual,551.8
RAYALSEEMA,2014,Percentage departure,-28
RAYALSEEMA,2014,No. of districts,NA
RAYALSEEMA,2015,Actual,1047.1
RAYALSEEMA,2015,Percentage departure,36.6
RAYALSEEMA,2015,No. of districts,NA
SAURASHTRA & KUTCH,1901,Mean,494.3
SAURASHTRA & KUTCH,1901,Standard deviation,203.4
SAURASHTRA & KUTCH,1901,Coefficient of variation,41.1
SAURASHTRA & KUTCH,1901,Actual,181.3
SAURASHTRA & KUTCH,1901,Percentage departure,-63.3
SAURASHTRA & KUTCH,1901,No. of districts,NA
SAURASHTRA & KUTCH,1902,Actual,401.1
SAURASHTRA & KUTCH,1902,Percentage departure,-18.9
SAURASHTRA & KUTCH,1902,No. of districts,NA
SAURASHTRA & KUTCH,1903,Actual,522.8
SAURASHTRA & KUTCH,1903,Percentage departure,5.8
SAURASHTRA & KUTCH,1903,No. of districts,NA
SAURASHTRA & KUTCH,1904,Actual,185.6
SAURASHTRA & KUTCH,1904,Percentage departure,-62.4
SAURASHTRA & KUTCH,1904,No. of districts,NA
SAURASHTRA & KUTCH,1905,Actual,290
SAURASHTRA & KUTCH,1905,Percentage departure,-41.3
SAURASHTRA & KUTCH,1905,No. of districts,NA
SAURASHTRA & KUTCH,1906,Actual,540.3
SAURASHTRA & KUTCH,1906,Percentage departure,9.3
SAURASHTRA & KUTCH,1906,No. of districts,NA
SAURASHTRA & KUTCH,1907,Actual,509.6
SAURASHTRA & KUTCH,1907,Percentage departure,3.1
SAURASHTRA & KUTCH,1907,No. of districts,NA
SAURASHTRA & KUTCH,1908,Actual,527.9
SAURASHTRA & KUTCH,1908,Percentage departure,6.8
SAURASHTRA & KUTCH,1908,No. of districts,NA
SAURASHTRA & KUTCH,1909,Actual,586.4
SAURASHTRA & KUTCH,1909,Percentage departure,18.6
SAURASHTRA & KUTCH,1909,No. of districts,NA
SAURASHTRA & KUTCH,1910,Actual,549.7
SAURASHTRA & KUTCH,1910,Percentage departure,11.2
SAURASHTRA & KUTCH,1910,No. of districts,NA
SAURASHTRA & KUTCH,1911,Actual,140.4
SAURASHTRA & KUTCH,1911,Percentage departure,-71.6
SAURASHTRA & KUTCH,1911,No. of districts,NA
SAURASHTRA & KUTCH,1912,Actual,652.6
SAURASHTRA & KUTCH,1912,Percentage departure,32
SAURASHTRA & KUTCH,1912,No. of districts,NA
SAURASHTRA & KUTCH,1913,Actual,751.9
SAURASHTRA & KUTCH,1913,Percentage departure,52.1
SAURASHTRA & KUTCH,1913,No. of districts,NA
SAURASHTRA & KUTCH,1914,Actual,577.1
SAURASHTRA & KUTCH,1914,Percentage departure,16.8
SAURASHTRA & KUTCH,1914,No. of districts,NA
SAURASHTRA & KUTCH,1915,Actual,245.8
SAURASHTRA & KUTCH,1915,Percentage departure,-50.3
SAURASHTRA & KUTCH,1915,No. of districts,NA
SAURASHTRA & KUTCH,1916,Actual,495.9
SAURASHTRA & KUTCH,1916,Percentage departure,0.3
SAURASHTRA & KUTCH,1916,No. of districts,NA
SAURASHTRA & KUTCH,1917,Actual,886.7
SAURASHTRA & KUTCH,1917,Percentage departure,79.4
SAURASHTRA & KUTCH,1917,No. of districts,NA
SAURASHTRA & KUTCH,1918,Actual,117.6
SAURASHTRA & KUTCH,1918,Percentage departure,-76.2
SAURASHTRA & KUTCH,1918,No. of districts,NA
SAURASHTRA & KUTCH,1919,Actual,445.1
SAURASHTRA & KUTCH,1919,Percentage departure,-10
SAURASHTRA & KUTCH,1919,No. of districts,NA
SAURASHTRA & KUTCH,1920,Actual,490.1
SAURASHTRA & KUTCH,1920,Percentage departure,-0.9
SAURASHTRA & KUTCH,1920,No. of districts,NA
SAURASHTRA & KUTCH,1921,Actual,598.1
SAURASHTRA & KUTCH,1921,Percentage departure,21
SAURASHTRA & KUTCH,1921,No. of districts,NA
SAURASHTRA & KUTCH,1922,Actual,334.9
SAURASHTRA & KUTCH,1922,Percentage departure,-32.3
SAURASHTRA & KUTCH,1922,No. of districts,NA
SAURASHTRA & KUTCH,1923,Actual,205
SAURASHTRA & KUTCH,1923,Percentage departure,-58.5
SAURASHTRA & KUTCH,1923,No. of districts,NA
SAURASHTRA & KUTCH,1924,Actual,310.7
SAURASHTRA & KUTCH,1924,Percentage departure,-37.1
SAURASHTRA & KUTCH,1924,No. of districts,NA
SAURASHTRA & KUTCH,1925,Actual,340.6
SAURASHTRA & KUTCH,1925,Percentage departure,-31.1
SAURASHTRA & KUTCH,1925,No. of districts,NA
SAURASHTRA & KUTCH,1926,Actual,901.4
SAURASHTRA & KUTCH,1926,Percentage departure,82.4
SAURASHTRA & KUTCH,1926,No. of districts,NA
SAURASHTRA & KUTCH,1927,Actual,639.5
SAURASHTRA & KUTCH,1927,Percentage departure,29.4
SAURASHTRA & KUTCH,1927,No. of districts,NA
SAURASHTRA & KUTCH,1928,Actual,426.8
SAURASHTRA & KUTCH,1928,Percentage departure,-13.7
SAURASHTRA & KUTCH,1928,No. of districts,NA
SAURASHTRA & KUTCH,1929,Actual,421.8
SAURASHTRA & KUTCH,1929,Percentage departure,-14.7
SAURASHTRA & KUTCH,1929,No. of districts,NA
SAURASHTRA & KUTCH,1930,Actual,450.2
SAURASHTRA & KUTCH,1930,Percentage departure,-8.9
SAURASHTRA & KUTCH,1930,No. of districts,NA
SAURASHTRA & KUTCH,1931,Actual,329.7
SAURASHTRA & KUTCH,1931,Percentage departure,-33.3
SAURASHTRA & KUTCH,1931,No. of districts,NA
SAURASHTRA & KUTCH,1932,Actual,492.5
SAURASHTRA & KUTCH,1932,Percentage departure,-0.4
SAURASHTRA & KUTCH,1932,No. of districts,NA
SAURASHTRA & KUTCH,1933,Actual,757.9
SAURASHTRA & KUTCH,1933,Percentage departure,53.3
SAURASHTRA & KUTCH,1933,No. of districts,NA
SAURASHTRA & KUTCH,1934,Actual,398.4
SAURASHTRA & KUTCH,1934,Percentage departure,-19.4
SAURASHTRA & KUTCH,1934,No. of districts,NA
SAURASHTRA & KUTCH,1935,Actual,524.1
SAURASHTRA & KUTCH,1935,Percentage departure,6
SAURASHTRA & KUTCH,1935,No. of districts,NA
SAURASHTRA & KUTCH,1936,Actual,371.1
SAURASHTRA & KUTCH,1936,Percentage departure,-24.9
SAURASHTRA & KUTCH,1936,No. of districts,NA
SAURASHTRA & KUTCH,1937,Actual,533.6
SAURASHTRA & KUTCH,1937,Percentage departure,8
SAURASHTRA & KUTCH,1937,No. of districts,NA
SAURASHTRA & KUTCH,1938,Actual,346
SAURASHTRA & KUTCH,1938,Percentage departure,-30
SAURASHTRA & KUTCH,1938,No. of districts,NA
SAURASHTRA & KUTCH,1939,Actual,179.4
SAURASHTRA & KUTCH,1939,Percentage departure,-63.7
SAURASHTRA & KUTCH,1939,No. of districts,NA
SAURASHTRA & KUTCH,1940,Actual,356.5
SAURASHTRA & KUTCH,1940,Percentage departure,-27.9
SAURASHTRA & KUTCH,1940,No. of districts,NA
SAURASHTRA & KUTCH,1941,Actual,401.8
SAURASHTRA & KUTCH,1941,Percentage departure,-18.7
SAURASHTRA & KUTCH,1941,No. of districts,NA
SAURASHTRA & KUTCH,1942,Actual,342.2
SAURASHTRA & KUTCH,1942,Percentage departure,-30.8
SAURASHTRA & KUTCH,1942,No. of districts,NA
SAURASHTRA & KUTCH,1943,Actual,526.6
SAURASHTRA & KUTCH,1943,Percentage departure,6.5
SAURASHTRA & KUTCH,1943,No. of districts,NA
SAURASHTRA & KUTCH,1944,Actual,717.6
SAURASHTRA & KUTCH,1944,Percentage departure,45.2
SAURASHTRA & KUTCH,1944,No. of districts,NA
SAURASHTRA & KUTCH,1945,Actual,633.1
SAURASHTRA & KUTCH,1945,Percentage departure,28.1
SAURASHTRA & KUTCH,1945,No. of districts,NA
SAURASHTRA & KUTCH,1946,Actual,473.4
SAURASHTRA & KUTCH,1946,Percentage departure,-4.2
SAURASHTRA & KUTCH,1946,No. of districts,NA
SAURASHTRA & KUTCH,1947,Actual,558.8
SAURASHTRA & KUTCH,1947,Percentage departure,13.1
SAURASHTRA & KUTCH,1947,No. of districts,NA
SAURASHTRA & KUTCH,1948,Actual,247.7
SAURASHTRA & KUTCH,1948,Percentage departure,-49.9
SAURASHTRA & KUTCH,1948,No. of districts,NA
SAURASHTRA & KUTCH,1949,Actual,542.3
SAURASHTRA & KUTCH,1949,Percentage departure,9.7
SAURASHTRA & KUTCH,1949,No. of districts,NA
SAURASHTRA & KUTCH,1950,Actual,473.6
SAURASHTRA & KUTCH,1950,Percentage departure,-4.2
SAURASHTRA & KUTCH,1950,No. of districts,NA
SAURASHTRA & KUTCH,1951,Actual,285.2
SAURASHTRA & KUTCH,1951,Percentage departure,-42.3
SAURASHTRA & KUTCH,1951,No. of districts,NA
SAURASHTRA & KUTCH,1952,Actual,400.8
SAURASHTRA & KUTCH,1952,Percentage departure,-18.9
SAURASHTRA & KUTCH,1952,No. of districts,NA
SAURASHTRA & KUTCH,1953,Actual,706.6
SAURASHTRA & KUTCH,1953,Percentage departure,43
SAURASHTRA & KUTCH,1953,No. of districts,NA
SAURASHTRA & KUTCH,1954,Actual,599.8
SAURASHTRA & KUTCH,1954,Percentage departure,21.3
SAURASHTRA & KUTCH,1954,No. of districts,NA
SAURASHTRA & KUTCH,1955,Actual,385.1
SAURASHTRA & KUTCH,1955,Percentage departure,-22.1
SAURASHTRA & KUTCH,1955,No. of districts,NA
SAURASHTRA & KUTCH,1956,Actual,739.1
SAURASHTRA & KUTCH,1956,Percentage departure,49.5
SAURASHTRA & KUTCH,1956,No. of districts,NA
SAURASHTRA & KUTCH,1957,Actual,398.5
SAURASHTRA & KUTCH,1957,Percentage departure,-19.4
SAURASHTRA & KUTCH,1957,No. of districts,NA
SAURASHTRA & KUTCH,1958,Actual,551.6
SAURASHTRA & KUTCH,1958,Percentage departure,11.6
SAURASHTRA & KUTCH,1958,No. of districts,NA
SAURASHTRA & KUTCH,1959,Actual,1020.9
SAURASHTRA & KUTCH,1959,Percentage departure,106.5
SAURASHTRA & KUTCH,1959,No. of districts,NA
SAURASHTRA & KUTCH,1960,Actual,337.2
SAURASHTRA & KUTCH,1960,Percentage departure,-31.8
SAURASHTRA & KUTCH,1960,No. of districts,NA
SAURASHTRA & KUTCH,1961,Actual,752.9
SAURASHTRA & KUTCH,1961,Percentage departure,52.3
SAURASHTRA & KUTCH,1961,No. of districts,NA
SAURASHTRA & KUTCH,1962,Actual,371.8
SAURASHTRA & KUTCH,1962,Percentage departure,-24.8
SAURASHTRA & KUTCH,1962,No. of districts,NA
SAURASHTRA & KUTCH,1963,Actual,379.1
SAURASHTRA & KUTCH,1963,Percentage departure,-23.3
SAURASHTRA & KUTCH,1963,No. of districts,NA
SAURASHTRA & KUTCH,1964,Actual,539.5
SAURASHTRA & KUTCH,1964,Percentage departure,9.1
SAURASHTRA & KUTCH,1964,No. of districts,NA
SAURASHTRA & KUTCH,1965,Actual,421.3
SAURASHTRA & KUTCH,1965,Percentage departure,-14.8
SAURASHTRA & KUTCH,1965,No. of districts,NA
SAURASHTRA & KUTCH,1966,Actual,326.5
SAURASHTRA & KUTCH,1966,Percentage departure,-33.9
SAURASHTRA & KUTCH,1966,No. of districts,NA
SAURASHTRA & KUTCH,1967,Actual,738.6
SAURASHTRA & KUTCH,1967,Percentage departure,49.4
SAURASHTRA & KUTCH,1967,No. of districts,NA
SAURASHTRA & KUTCH,1968,Actual,314.6
SAURASHTRA & KUTCH,1968,Percentage departure,-36.3
SAURASHTRA & KUTCH,1968,No. of districts,NA
SAURASHTRA & KUTCH,1969,Actual,290
SAURASHTRA & KUTCH,1969,Percentage departure,-41.3
SAURASHTRA & KUTCH,1969,No. of districts,NA
SAURASHTRA & KUTCH,1970,Actual,835.8
SAURASHTRA & KUTCH,1970,Percentage departure,69.1
SAURASHTRA & KUTCH,1970,No. of districts,NA
SAURASHTRA & KUTCH,1971,Actual,513.6
SAURASHTRA & KUTCH,1971,Percentage departure,3.9
SAURASHTRA & KUTCH,1971,No. of districts,NA
SAURASHTRA & KUTCH,1972,Actual,222.1
SAURASHTRA & KUTCH,1972,Percentage departure,-55.1
SAURASHTRA & KUTCH,1972,No. of districts,NA
SAURASHTRA & KUTCH,1973,Actual,390.3
SAURASHTRA & KUTCH,1973,Percentage departure,-21
SAURASHTRA & KUTCH,1973,No. of districts,NA
SAURASHTRA & KUTCH,1974,Actual,184.7
SAURASHTRA & KUTCH,1974,Percentage departure,-62.6
SAURASHTRA & KUTCH,1974,No. of districts,NA
SAURASHTRA & KUTCH,1975,Actual,682.1
SAURASHTRA & KUTCH,1975,Percentage departure,38
SAURASHTRA & KUTCH,1975,No. of districts,NA
SAURASHTRA & KUTCH,1976,Actual,625.5
SAURASHTRA & KUTCH,1976,Percentage departure,26.5
SAURASHTRA & KUTCH,1976,No. of districts,NA
SAURASHTRA & KUTCH,1977,Actual,564.1
SAURASHTRA & KUTCH,1977,Percentage departure,14.1
SAURASHTRA & KUTCH,1977,No. of districts,NA
SAURASHTRA & KUTCH,1978,Actual,488.6
SAURASHTRA & KUTCH,1978,Percentage departure,-1.2
SAURASHTRA & KUTCH,1978,No. of districts,NA
SAURASHTRA & KUTCH,1979,Actual,955.4
SAURASHTRA & KUTCH,1979,Percentage departure,93.3
SAURASHTRA & KUTCH,1979,No. of districts,NA
SAURASHTRA & KUTCH,1980,Actual,635.8
SAURASHTRA & KUTCH,1980,Percentage departure,28.6
SAURASHTRA & KUTCH,1980,No. of districts,NA
SAURASHTRA & KUTCH,1981,Actual,705
SAURASHTRA & KUTCH,1981,Percentage departure,42.6
SAURASHTRA & KUTCH,1981,No. of districts,NA
SAURASHTRA & KUTCH,1982,Actual,401.3
SAURASHTRA & KUTCH,1982,Percentage departure,-18.8
SAURASHTRA & KUTCH,1982,No. of districts,NA
SAURASHTRA & KUTCH,1983,Actual,758.4
SAURASHTRA & KUTCH,1983,Percentage departure,53.4
SAURASHTRA & KUTCH,1983,No. of districts,NA
SAURASHTRA & KUTCH,1984,Actual,443.7
SAURASHTRA & KUTCH,1984,Percentage departure,-10.2
SAURASHTRA & KUTCH,1984,No. of districts,NA
SAURASHTRA & KUTCH,1985,Actual,298.8
SAURASHTRA & KUTCH,1985,Percentage departure,-39.5
SAURASHTRA & KUTCH,1985,No. of districts,NA
SAURASHTRA & KUTCH,1986,Actual,298.5
SAURASHTRA & KUTCH,1986,Percentage departure,-39.6
SAURASHTRA & KUTCH,1986,No. of districts,NA
SAURASHTRA & KUTCH,1987,Actual,92.7
SAURASHTRA & KUTCH,1987,Percentage departure,-81.2
SAURASHTRA & KUTCH,1987,No. of districts,NA
SAURASHTRA & KUTCH,1988,Actual,752.3
SAURASHTRA & KUTCH,1988,Percentage departure,52.2
SAURASHTRA & KUTCH,1988,No. of districts,NA
SAURASHTRA & KUTCH,1989,Actual,498.2
SAURASHTRA & KUTCH,1989,Percentage departure,0.8
SAURASHTRA & KUTCH,1989,No. of districts,NA
SAURASHTRA & KUTCH,1990,Actual,407.9
SAURASHTRA & KUTCH,1990,Percentage departure,-17.5
SAURASHTRA & KUTCH,1990,No. of districts,NA
SAURASHTRA & KUTCH,1991,Actual,218.7
SAURASHTRA & KUTCH,1991,Percentage departure,-55.7
SAURASHTRA & KUTCH,1991,No. of districts,NA
SAURASHTRA & KUTCH,1992,Actual,600.7
SAURASHTRA & KUTCH,1992,Percentage departure,21.5
SAURASHTRA & KUTCH,1992,No. of districts,NA
SAURASHTRA & KUTCH,1993,Actual,312.7
SAURASHTRA & KUTCH,1993,Percentage departure,-36.7
SAURASHTRA & KUTCH,1993,No. of districts,NA
SAURASHTRA & KUTCH,1994,Actual,872.8
SAURASHTRA & KUTCH,1994,Percentage departure,76.6
SAURASHTRA & KUTCH,1994,No. of districts,NA
SAURASHTRA & KUTCH,1995,Actual,374.1
SAURASHTRA & KUTCH,1995,Percentage departure,-24.3
SAURASHTRA & KUTCH,1995,No. of districts,NA
SAURASHTRA & KUTCH,1996,Actual,374.4
SAURASHTRA & KUTCH,1996,Percentage departure,-24.2
SAURASHTRA & KUTCH,1996,No. of districts,NA
SAURASHTRA & KUTCH,1997,Actual,600.2
SAURASHTRA & KUTCH,1997,Percentage departure,21.4
SAURASHTRA & KUTCH,1997,No. of districts,NA
SAURASHTRA & KUTCH,1998,Actual,566.9
SAURASHTRA & KUTCH,1998,Percentage departure,14.7
SAURASHTRA & KUTCH,1998,No. of districts,NA
SAURASHTRA & KUTCH,1999,Actual,380.7
SAURASHTRA & KUTCH,1999,Percentage departure,-23
SAURASHTRA & KUTCH,1999,No. of districts,NA
SAURASHTRA & KUTCH,2000,Actual,286.1
SAURASHTRA & KUTCH,2000,Percentage departure,-42.1
SAURASHTRA & KUTCH,2000,No. of districts,NA
SAURASHTRA & KUTCH,2001,Actual,510.2
SAURASHTRA & KUTCH,2001,Percentage departure,3.2
SAURASHTRA & KUTCH,2001,No. of districts,NA
SAURASHTRA & KUTCH,2002,Actual,308.1
SAURASHTRA & KUTCH,2002,Percentage departure,-37.7
SAURASHTRA & KUTCH,2002,No. of districts,NA
SAURASHTRA & KUTCH,2003,Actual,686.2
SAURASHTRA & KUTCH,2003,Percentage departure,38.8
SAURASHTRA & KUTCH,2003,No. of districts,NA
SAURASHTRA & KUTCH,2004,Actual,482.2
SAURASHTRA & KUTCH,2004,Percentage departure,-2.4
SAURASHTRA & KUTCH,2004,No. of districts,NA
